sap,primitive,path,sapmsg_variant,constructed,handled,tests,status
LMM,LmmMleCancelReq,crates/tetra-saps/src/lmm/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
LMM,LmmMleCloseReq,crates/tetra-saps/src/lmm/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
LMM,LmmMleConfigureInd,crates/tetra-saps/src/lmm/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
LMM,LmmMleConfigureReq,crates/tetra-saps/src/lmm/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
LMM,LmmMleDeactivateReq,crates/tetra-saps/src/lmm/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
LMM,LmmMleDisableReq,crates/tetra-saps/src/lmm/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
LMM,LmmMleEnableReq,crates/tetra-saps/src/lmm/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
LMM,LmmMleIdentitiesReq,crates/tetra-saps/src/lmm/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
LMM,LmmMleIdleReq,crates/tetra-saps/src/lmm/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
LMM,LmmMleInfoInd,crates/tetra-saps/src/lmm/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
LMM,LmmMleInfoReq,crates/tetra-saps/src/lmm/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
LMM,LmmMleLinkInd,crates/tetra-saps/src/lmm/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
LMM,LmmMleLinkReq,crates/tetra-saps/src/lmm/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
LMM,LmmMlePrepareConfirm,crates/tetra-saps/src/lmm/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
LMM,LmmMlePrepareReq,crates/tetra-saps/src/lmm/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
LMM,LmmMleReportInd,crates/tetra-saps/src/lmm/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
LMM,LmmMleUnitdataInd,crates/tetra-saps/src/lmm/mod.rs,ja,3,10,5,bidirektional sichtbar
LMM,LmmMleUnitdataReq,crates/tetra-saps/src/lmm/mod.rs,ja,9,4,9,bidirektional sichtbar
LMM,LmmMleUpdateReq,crates/tetra-saps/src/lmm/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
LTPD,LtpdMleActivityReq,crates/tetra-saps/src/ltpd/mod.rs,ja,0,0,4,"Variante vorhanden, Runtime-Pfad fehlt"
LTPD,LtpdMleBreakInd,crates/tetra-saps/src/ltpd/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
LTPD,LtpdMleBusyInd,crates/tetra-saps/src/ltpd/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
LTPD,LtpdMleCancelReq,crates/tetra-saps/src/ltpd/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
LTPD,LtpdMleCloseInd,crates/tetra-saps/src/ltpd/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
LTPD,LtpdMleConfigureInd,crates/tetra-saps/src/ltpd/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
LTPD,LtpdMleConfigureReq,crates/tetra-saps/src/ltpd/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
LTPD,LtpdMleConnectConfirm,crates/tetra-saps/src/ltpd/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
LTPD,LtpdMleConnectInd,crates/tetra-saps/src/ltpd/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
LTPD,LtpdMleConnectReq,crates/tetra-saps/src/ltpd/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
LTPD,LtpdMleConnectResp,crates/tetra-saps/src/ltpd/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
LTPD,LtpdMleDisableInd,crates/tetra-saps/src/ltpd/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
LTPD,LtpdMleDisconnectInd,crates/tetra-saps/src/ltpd/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
LTPD,LtpdMleDisconnectReq,crates/tetra-saps/src/ltpd/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
LTPD,LtpdMleEnableInd,crates/tetra-saps/src/ltpd/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
LTPD,LtpdMleIdleInd,crates/tetra-saps/src/ltpd/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
LTPD,LtpdMleInfoInd,crates/tetra-saps/src/ltpd/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
LTPD,LtpdMleOpenInd,crates/tetra-saps/src/ltpd/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
LTPD,LtpdMleReceiveInd,crates/tetra-saps/src/ltpd/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
LTPD,LtpdMleReconnectConfirm,crates/tetra-saps/src/ltpd/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
LTPD,LtpdMleReconnectInd,crates/tetra-saps/src/ltpd/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
LTPD,LtpdMleReconnectReq,crates/tetra-saps/src/ltpd/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
LTPD,LtpdMleReleaseReq,crates/tetra-saps/src/ltpd/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
LTPD,LtpdMleReportInd,crates/tetra-saps/src/ltpd/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
LTPD,LtpdMleResumeInd,crates/tetra-saps/src/ltpd/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
LTPD,LtpdMleUnitdataInd,crates/tetra-saps/src/ltpd/mod.rs,ja,4,1,0,bidirektional sichtbar
LTPD,LtpdMleUnitdataReq,crates/tetra-saps/src/ltpd/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
TLA,TlCancelReq,crates/tetra-saps/src/tla/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
TLA,TlConnectConf,crates/tetra-saps/src/tla/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
TLA,TlConnectInd,crates/tetra-saps/src/tla/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
TLA,TlConnectReq,crates/tetra-saps/src/tla/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
TLA,TlConnectResp,crates/tetra-saps/src/tla/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
TLA,TlDisconnectConf,crates/tetra-saps/src/tla/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
TLA,TlDisconnectInd,crates/tetra-saps/src/tla/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
TLA,TlDisconnectReq,crates/tetra-saps/src/tla/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
TLA,TlReceiveInd,crates/tetra-saps/src/tla/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
TLA,TlReconnectReq,crates/tetra-saps/src/tla/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
TLA,TlReconnectResp,crates/tetra-saps/src/tla/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
TLA,TlReleaseInd,crates/tetra-saps/src/tla/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
TLA,TlReleaseReq,crates/tetra-saps/src/tla/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
TLA,TlaTlReportInd,crates/tetra-saps/src/tla/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
TLE,TleCancelReq,crates/tetra-saps/src/tle/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
TLE,TleReportInd,crates/tetra-saps/src/tle/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
TLE,TleUnitdataConf,crates/tetra-saps/src/tle/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
TLE,TleUnitdataInd,crates/tetra-saps/src/tle/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
TLE,TleUnitdataReq,crates/tetra-saps/src/tle/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
TLMB,TlmbSyncInd,crates/tetra-saps/src/tlmb/mod.rs,ja,1,2,0,bidirektional sichtbar
TLMB,TlmbSyncReq,crates/tetra-saps/src/tlmb/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
TLMB,TlmbSysinfoInd,crates/tetra-saps/src/tlmb/mod.rs,ja,1,2,0,bidirektional sichtbar
TLMB,TlmbSysinfoReq,crates/tetra-saps/src/tlmb/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
TLMC,TlmcAssessmentInd,crates/tetra-saps/src/tlmc/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
TLMC,TlmcAssessmentListReq,crates/tetra-saps/src/tlmc/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
TLMC,TlmcCellReadConf,crates/tetra-saps/src/tlmc/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
TLMC,TlmcCellReadReq,crates/tetra-saps/src/tlmc/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
TLMC,TlmcConfigureConf,crates/tetra-saps/src/tlmc/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
TLMC,TlmcConfigureInd,crates/tetra-saps/src/tlmc/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
TLMC,TlmcConfigureReq,crates/tetra-saps/src/tlmc/mod.rs,ja,1,2,7,bidirektional sichtbar
TLMC,TlmcMeasurementInd,crates/tetra-saps/src/tlmc/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
TLMC,TlmcMonitorInd,crates/tetra-saps/src/tlmc/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
TLMC,TlmcMonitorListReq,crates/tetra-saps/src/tlmc/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
TLMC,TlmcReportInd,crates/tetra-saps/src/tlmc/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
TLMC,TlmcScanConf,crates/tetra-saps/src/tlmc/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
TLMC,TlmcScanReportInd,crates/tetra-saps/src/tlmc/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
TLMC,TlmcScanReq,crates/tetra-saps/src/tlmc/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
TLMC,TlmcSelectConf,crates/tetra-saps/src/tlmc/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
TLMC,TlmcSelectInd,crates/tetra-saps/src/tlmc/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
TLMC,TlmcSelectReq,crates/tetra-saps/src/tlmc/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
TLMC,TlmcSelectResp,crates/tetra-saps/src/tlmc/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
TMA,TmaCancelReq,crates/tetra-saps/src/tma/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
TMA,TmaReleaseInd,crates/tetra-saps/src/tma/mod.rs,nein,0,0,0,nicht in SapMsgInner verdrahtet
TMA,TmaReportInd,crates/tetra-saps/src/tma/mod.rs,ja,1,1,0,bidirektional sichtbar
TMA,TmaUnitdataInd,crates/tetra-saps/src/tma/mod.rs,ja,8,3,8,bidirektional sichtbar
TMA,TmaUnitdataReq,crates/tetra-saps/src/tma/mod.rs,ja,5,2,11,bidirektional sichtbar
TMD,TmdCircuitDataInd,crates/tetra-saps/src/tmd/mod.rs,ja,5,5,0,bidirektional sichtbar
TMD,TmdCircuitDataReq,crates/tetra-saps/src/tmd/mod.rs,ja,4,1,3,bidirektional sichtbar
TMV,TmvConfigureConf,crates/tetra-saps/src/tmv/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
TMV,TmvConfigureReq,crates/tetra-saps/src/tmv/mod.rs,ja,5,4,0,bidirektional sichtbar
TMV,TmvUnitdataInd,crates/tetra-saps/src/tmv/mod.rs,ja,3,27,26,bidirektional sichtbar
TMV,TmvUnitdataReq,crates/tetra-saps/src/tmv/mod.rs,ja,1,3,2,bidirektional sichtbar
TNMM,TnmmTestDemand,crates/tetra-saps/src/tnmm/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
TNMM,TnmmTestResponse,crates/tetra-saps/src/tnmm/mod.rs,ja,0,0,0,"Variante vorhanden, Runtime-Pfad fehlt"
TP,TpUnitdataInd,crates/tetra-saps/src/tp/mod.rs,ja,1,2,0,bidirektional sichtbar
